CodigoPais;Zona;SucursalAlquiler;Mes;Fecha;Res_CY;Res_LY;Dias_CY;Dias_LY;Rental_rate_rev_CY;Rental_rate_rev_LY;Ancillaries_CY;Ancillaries_LY;SDR_CY;SDR_LY;Origin_App;Brand
ES;Andalusia;AGP;1/2/20;11/2/20;4;18;15;153;137,3804298;176,8031562;0;0;0;0;Sigger;Rhodium
ES;Andalusia;AGP;1/2/20;12/2/20;23;34;188;289;887,7653;372,5878702;0;0;0;0;Sigger;InterRent
ES;Andalusia;AGP;1/2/20;13/2/20;134;122;1072;1180;4582,066839;3303,723452;0;0;0;0;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/2/20;14/2/20;140;139;1106;1094;3819,671902;3437,045136;0;0;0;0;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/2/20;14/2/20;40;64;337;453;1229,627067;846,801638;0;0;0;0;Sigger;InterRent
ES;Andalusia;AGP;1/2/20;14/2/20;10;;60;;318,9467521;;0;;0;;Sigger;InterRent MT
ES;Andalusia;AGP;1/2/20;14/2/20;10;25;62;147;468,481805;371,1344562;0;0;0;0;Sigger;Rhodium
ES;Andalusia;AGP;1/2/20;16/2/20;110;88;949;746;3614,077809;2006,34895;0;0;0;0;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/2/20;16/2/20;5;;29;;186,3537198;;0;;0;;Sigger;InterRent MT
ES;Andalusia;AGP;1/2/20;16/2/20;6;14;49;92;220,3658661;332,5733835;0;0;0;0;Sigger;Rhodium
ES;Andalusia;AGP;1/2/20;17/2/20;21;30;189;235;591,259357;348,9166802;0;0;0;0;Sigger;InterRent
ES;Andalusia;AGP;1/2/20;17/2/20;10;;57;;261,895243;;0;;0;;Sigger;InterRent MT
ES;Andalusia;AGP;1/2/20;17/2/20;3;11;29;69;253,7026;168,1613;0;0;0;0;Sigger;Rhodium
ES;Andalusia;AGP;1/2/20;19/2/20;130;68;1173;683;4102,897168;1933,905043;0;0;0;0;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/2/20;19/2/20;24;42;244;344;718,7902736;746,5421471;0;0;0;0;Sigger;InterRent
ES;Andalusia;AGP;1/2/20;19/2/20;6;;29;;124,7347975;;0;;0;;Sigger;InterRent MT
ES;Andalusia;AGP;1/2/20;19/2/20;4;14;22;87;121,714;149,923;0;0;0;0;Sigger;Rhodium
ES;Andalusia;AGP;1/2/20;20/2/20;25;37;194;267;652,6484;589,3394017;0;0;0;0;Sigger;InterRent
ES;Andalusia;AGP;1/2/20;21/2/20;133;86;1095;702;4186,449503;1377,827968;0;0;0;0;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/2/20;22/2/20;174;113;1515;976;6965,678783;2503,937179;0;0;0;0;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/2/20;22/2/20;30;36;236;323;749,8439355;771,8652;0;0;0;0;Sigger;InterRent
ES;Andalusia;AGP;1/2/20;22/2/20;7;;41;;176,1267231;;0;;0;;Sigger;InterRent MT
